[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] A + Left Button
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:36:59] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D + Space + LeftShift
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] D
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:00] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A x3
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:01] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A + LeftShift
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A x4
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] A + D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D + Space + LeftShift
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:02] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D + LeftShift
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D x2
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] D + A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:03] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A + Space + LeftShift
[09:37:04] A
[09:37:04] A
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A x2
[09:37:04] A x2
[09:37:04] A x2
[09:37:04] A x2
[09:37:04] A x2
[09:37:04] A x2
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
[09:37:04] A + LeftShift
